product_id,product_name,price
158,Գրիլ Խոզի Չալաղաջ,1150
159,Գրիլ Հավ,3500
160,Գրիլ Հորթի Չալաղաջ,2583.33
161,Գրիլ Հորթի Չալաղաջ Մեծ,4500
162,Գրիլի Կարտոֆիլ,200
163,Գրիլլ Լանչի ,500
164,Գրիլլ Խոզի Մատ,6000
165,Գրիլլ Հոթ-Դոգ Չորիզո,900
166,Գրիլլ Հոթ-Դոգ Պանրով,900
167,Դարչին Մեխակով Թեյ,950
168,Դդմիկով Կոտլետ,250
169,Դդումով Կրեմ Ապուր,1200
170,Դեգուստո Թխվածք,1000
171,Դեգուստո Փախլավա Մեծ,900
172,Դեղին Կարտոֆիլ,400
173,Դեղին ԿԱրտոֆիլ Լանչի,250
174,Դեղին Կարտոֆիլ Կես Բաժին,250
175,Դեղձի Կոմպոտ,304.35
176,Դեղձի Սառը Թեյ,600
177,"Դոբրի Խնձոր 0,3",400.52
178,"Դոբրի Մուլտի 0,3",400
179,"Դոբրի Նարինջ 0,3",401.23
180,Դոլմա Բլղուրով,150
181,Դոլմա Թփով,250
182,Դոլմա Կաղամբով,250
183,Ելակ,508.33
184,Էբի Մակի,2100
185,Էբի Տառ-Տառ,4800
186,Էկլեր ,600
187,Էկլեր Շոկոլադապատ,602.07
188,Էսկիմո,800
189,Ընդմիջում,0
190,Ընկույզ,311.43
191,Ընկույզով Թխվածք,
192,Թաբուլե Լանչի,300
193,Թահան Բանջարեղենով,1400
194,Թահան Ծովամթերքով,3500
195,Թահան Հավով,2200
196,Թայ-Բիֆ աղցան,2970
197,"Թան Դեգուստո 0,3",300.08
198,"Թան Դեգուստո 0,5լ",350
199,"Թան Նանայով 0,3",300
200,"Թան Նանայով 0,5",350
201,Թավա Կարտոֆիլ,1800
202,Թարխունով Աղցան,676.07
203,Թարխունով Աղցան  Լանչի,300
204,Թարմ Քամած Թուրինջ,
205,Թարմ Քամած Թուրինջ/Նարինջ,1400
206,Թարմ Քամած Նարինջ,1800
207,Թարմ Քամած Նուռ,1000
208,Թարմ Քամած Նուռ 1լ,3000
209,Թթվասեր,307.5
210,Թթվի Տեսականի ,1650
211,Թոնրի Հաց,111.9
