product,price
Գրիլ Հորթի Չալաղաջ Մեծ,4500.00
Գրիլի Կարտոֆիլ,200.00
Գրիլլ Լանչի ,500.00
Գրիլլ Խոզի Մատ,6000.00
Գրիլլ Հոթ-Դոգ Չորիզո,900.00
Գրիլլ Հոթ-Դոգ Պանրով,900.00
Դարչին Մեխակով Թեյ,950.00
Դդմիկով Կոտլետ,250.00
Դդումով Կրեմ Ապուր,1200.00
Դեգուստո Թխվածք,1000.00
Դեգուստո Փախլավա Մեծ,900.00
Դեղին Կարտոֆիլ,400.00
Դեղին ԿԱրտոֆիլ Լանչի,250.00
Դեղին Կարտոֆիլ Կես Բաժին,250.00
Դեղձի Կոմպոտ,304.35
Դեղձի Սառը Թեյ,600.00
"Դոբրի Խնձոր 0,3",400.52
"Դոբրի Մուլտի 0,3",400.00
"Դոբրի Նարինջ 0,3",401.23
Դոլմա Բլղուրով,150.00
Դոլմա Թփով,250.00
Դոլմա Կաղամբով,250.00
Ելակ,508.33
Էբի Մակի,2100.00
Էբի Տառ-Տառ,4800.00
Էկլեր ,600.00
Էկլեր Շոկոլադապատ,602.07
Էսկիմո,800.00
Ընդմիջում,0.00
Ընկույզ,311.43
Ընկույզով Թխվածք,
Թաբուլե Լանչի,300.00
Թահան Բանջարեղենով,1400.00
Թահան Ծովամթերքով,3500.00
Թահան Հավով,2200.00
Թայ-Բիֆ աղցան,2970.00
"Թան Դեգուստո 0,3",300.08
"Թան Դեգուստո 0,5լ",350.00
"Թան Նանայով 0,3",300.00
"Թան Նանայով 0,5",350.00
Թավա Կարտոֆիլ,1800.00
Թարխունով Աղցան,676.07
Թարխունով Աղցան  Լանչի,300.00
Թարմ Քամած Թուրինջ,
Թարմ Քամած Թուրինջ/Նարինջ,1400.00
Թարմ Քամած Նարինջ,1800.00
Թարմ Քամած Նուռ,1000.00
Թարմ Քամած Նուռ 1լ,3000.00
Թթվասեր,307.50
Թթվի Տեսականի ,1650.00
Թոնրի Հաց,111.90
Թունա Ռոլ,3000.00
Թունայով Աղցան,2750.00
Թուրինջի Ֆռեշ,1300.00
Թռչնի Կաթ,750.00
Թփով Դոլմա,2530.00
Ժառկո Խոզի Մսով,2625.00
Ժենգյալ Կաթնաշոռով,600.00
Ժենգյալով Հաց,800.00
Ժենգյալով Հաց Պանրով,1000.00
Ժենգյալով Հաց Փոքր,400.00
Ժուլյեն ,2090.00
Իմամ Բայալդի,942.86
Իմբիրի Տաք Թեյ,1100.00
Իմերիթական,2000.00
Իմերիթական Խաչապուրի,2310.00
Իմերիթական կտոր,450.00
Իշլի Քյուֆթա,550.00
Իշխան Փռում,3630.00
Իշխանի Խորոված Ամբողջական,6195.00
