product,price
Տուփ Փոքր,79.97
Ցիտրուսային Տաք Թեյ,950.00
"Փալփի Բալ 0,45",550.00
"Փալփի Մնգ/Արք 0,450",550.00
"Փալփի Նարինջ 0,45",550.00
Փակ Պիցցա ,2650.00
Փարիզյան Սուրճ ,300.00
Փիթի Գառան,1323.21
Փոքր Հաց,50.00
Փռի Կարտոֆիլ,700.00
Քաբաբ Գառի,1200.00
Քաբաբ Հավի,900.00
Քաբաբ Հավի ,1078.57
Քաբաբ Հավի Հացով,900.00
Քաբաբ Հավի Պանրով,1200.00
Քաբաբ Տավարի,999.77
Քաբաբ Տավարի ,1210.00
Քաբաբ Տավարի Հացով,1000.00
Քաբաբ Տավարի Պանրով,1300.00
Քաբաբի Ֆառշ Հավի,2600.00
Քամած Մածուն ,642.86
Քամած Մածունով աղցան Լանչի,300.00
Քինուայով Աղցան,795.31
Քլաբ Սենդվիչ,800.00
"Քլաբ Սենդվիչ-Ֆրի-Կոլա 0,5",1500.00
"Քլաբ Սենդվիչ-Ֆրի-Կոլա Լցնովի 0,5",1500.00
"Քլաբ Սենդվիչ-Ֆրի-Ֆանտա 0,5",1500.00
Օլիվյե Լանչի ,300.00
Օղի ABSOLUT VODKA,880.00
"Օղի ABSOLUT VODKA 0,5լ",8470.00
Օղի Բելայա Բերյոզկա,770.00
"Օղի Բելայա Բերյոզկա 0,5լ",7150.00
Օղի Մալինայի,935.00
Օղի Ռոմանով 0.5լ ,7700.00
Օղի Ռուսկայա 0.5լ,6600.00
Օղի Սերկևիլի,715.00
Օղի Սմիռնոֆֆ,715.00
"Օղի Ստալիչնայա 0,5լ",8800.00
"Օղի Ցարսկայա Օրիգինալ 0,5լ",6050.00
Օստրի ,1163.23
Օստրի Լանչի,500.00
Օստրի Փոքր Բաժին,650.00
"Ֆանտա 0,25լ",385.00
"Ֆանտա Էկզոտիկ 0,5",450.00
Ֆանտա Լցնովի 0.5լ,450.00
Ֆանտա Լցնովի Փոքր,357.29
"Ֆանտա Մանդարին 0,5",450.00
"Ֆանտա Նարինջ 0,5",450.00
Ֆանտա Նարինջ 1լ,730.00
"Ֆյուզ թեյ Անտառային 0,5",550.00
"Ֆյուզ թեյ Դեզձի 0,5 ",550.00
"Ֆյուզ թեյ Կիտրոն 0,5",550.00
"Ֆյուզ թեյ Մանգո-Արք. 0,5 ",550.00
Ֆունչոզա Բանջարեղենով,1800.00
Ֆունչոզա Ծովամթերքով,3700.00
Ֆունչոզա Հավի Կրծքամսով,725.00
Ֆունչոզա Հավով,2600.00
Ֆունչոզա Հորթի Մսով,3200.00
Ֆրանսիական Վաֆլի ,800.00
Ֆրանսիական Վաֆլի Մեծ,1000.00
Ֆրանսիական Տոստ Խոզապուխտով,950.00
Ֆրի Լանչի,350.00
Итого,607.42
,
,
,
